plot_id,true_label,prob_class_1,thresholded_label,thresholded_misclassified
94,1,0.6425175,1,0
95,1,0.86401165,1,0
96,1,0.8326774,1,0
97,1,0.33614555,1,0
98,0,0.18801086,0,0
99,0,0.19816443,0,0
100,0,0.1411392,0,0
101,0,0.15301262,0,0
102,0,0.30568892,0,0
103,0,0.2643475,0,0
104,0,0.24825859,0,0
105,1,0.5424701,1,0
106,1,0.30658406,1,0
3127,1,0.5002612,1,0
3128,0,0.4232,1,1
3129,0,0.59826505,1,1
3130,1,0.41924977,1,0
3131,0,0.20718996,0,0
3132,0,0.25424346,0,0
3133,0,0.46886253,1,1
3134,1,0.5021851,1,0
3135,0,0.4856091,1,1
3136,0,0.5839862,1,1
3137,0,0.22667125,0,0
3138,1,0.5918377,1,0
3139,0,0.3545324,1,1
3140,1,0.5730194,1,0
3141,0,0.53902143,1,1
3142,0,0.43651608,1,1
3143,0,0.2647645,0,0
3144,1,0.17904046,0,1
3145,1,0.53146064,1,0
3146,1,0.38915196,1,0
3147,1,0.55952805,1,0
3148,0,0.3106278,1,1
3149,0,0.40614828,1,1
3150,1,0.21909244,0,1
3151,1,0.475982,1,0
3152,1,0.52157843,1,0
3153,0,0.28032142,0,0
3154,0,0.27652153,0,0
3155,1,0.53959703,1,0
3156,1,0.5122236,1,0
3157,0,0.37716058,1,1
3158,0,0.5615722,1,1
3159,0,0.28012747,0,0
3160,0,0.32665902,1,1
3995,0,0.55699384,1,1
3996,0,0.5237333,1,1
3997,0,0.6032355,1,1
4005,0,0.79794633,1,1
4006,0,0.51345205,1,1
4007,1,0.53304636,1,0
2887,1,0.23517793,0,1
2888,1,0.6665314,1,0
2889,0,0.33851075,1,1
2890,0,0.48385334,1,1
2891,1,0.6671488,1,0
2892,1,0.71420443,1,0
2299,1,0.25622898,0,1
2300,0,0.19233407,0,0
2301,0,0.119752035,0,0
2302,0,0.23338439,0,0
2305,1,0.39744937,1,0
2306,1,0.55013514,1,0
2307,0,0.23713133,0,0
2308,1,0.5942759,1,0
3181,1,0.5071508,1,0
3182,0,0.18320186,0,0
3183,0,0.09247382,0,0
3184,0,0.53730875,1,1
3185,0,0.5443887,1,1
3186,1,0.71889466,1,0
3187,1,0.91515887,1,0
3188,1,0.6989632,1,0
3189,1,0.48983085,1,0
3191,0,0.46143675,1,1
3192,1,0.7175142,1,0
3193,0,0.06660074,0,0
3194,0,0.24076304,0,0
3195,0,0.68861043,1,1
3196,0,0.5677255,1,1
3197,1,0.68563396,1,0
3198,0,0.44360322,1,1
3199,1,0.7577035,1,0
2628,0,0.15481323,0,0
2629,0,0.16724357,0,0
2630,0,0.3887348,1,1
2631,0,0.2631105,0,0
2632,0,0.08387646,0,0
2633,0,0.54704356,1,1
2634,0,0.14057487,0,0
2635,0,0.0886816,0,0
2636,0,0.05992212,0,0
2637,0,0.14773911,0,0
2638,0,0.19553134,0,0
2639,1,0.22894375,0,1
2641,0,0.2164946,0,0
2642,0,0.14381456,0,0
2643,0,0.23162359,0,0
2644,0,0.28000948,0,0
2645,1,0.72102505,1,0
2646,0,0.3279629,1,1
2647,0,0.10300572,0,0
2648,1,0.21527113,0,1
2649,1,0.26688847,0,1
2650,0,0.085230075,0,0
2651,0,0.06539184,0,0
2652,0,0.2255564,0,0
4380,0,0.09066554,0,0
4381,1,0.7501089,1,0
4382,1,0.6787341,1,0
4383,1,0.7175377,1,0
4384,0,0.28282997,0,0
4385,0,0.17575261,0,0
4386,1,0.6281924,1,0
4387,0,0.45754015,1,1
4388,0,0.20164756,0,0
4389,0,0.1611693,0,0
4390,0,0.41452974,1,1
