plot_id,tree_count_actual,tree_count_predicted,residual
3078,1.0,1.7696748,-0.7696747779846191
1739,1.0,1.5638144,-0.5638144016265869
4825,1.0,1.5417156,-0.5417156219482422
2213,0.0,4.367811,-4.36781120300293
3218,6.0,3.6837811,2.316218852996826
3645,1.0,2.2786303,-1.278630256652832
2122,3.0,1.9481921,1.0518078804016113
3867,0.0,1.7256688,-1.7256687879562378
3895,0.0,1.463046,-1.4630459547042847
2027,1.0,1.8313885,-0.8313884735107422
3840,1.0,1.3110863,-0.3110862970352173
1767,0.0,0.8269679,-0.8269678950309753
4127,0.0,0.71965665,-0.7196566462516785
1004,0.0,0.5395111,-0.5395110845565796
2883,0.0,2.386291,-2.386291027069092
3481,1.0,2.343178,-1.3431780338287354
1264,0.0,0.5412965,-0.5412964820861816
463,3.0,1.1103119,1.8896881341934204
